"birthYear","nameFirst","nameLast","nameGiven","weight","height","bats","throws"
1943,"Sandy","Alomar","Santos",140,69,"B","R"
1966,"Sandy","Alomar","Santos",200,77,"R","R"
1994,"Pete","Alonso","Peter Morgan",253,74,"R","R"
1987,"Yonder","Alonso","Yonder",230,73,"L","R"
1935,"Felipe","Alou","Felipe Rojas",195,72,"R","R"
1942,"Jesus","Alou","Jesus Maria Rojas",190,74,"R","R"
1938,"Matty","Alou","Mateo Rojas",160,69,"L","L"
1966,"Moises","Alou","Moises Rojas",185,75,"R","R"
1879,"Whitey","Alpermann","Charles Augustus",180,70,"R","R"
1952,"Dell","Alston","Wendell",180,72,"L","R"
1971,"Garvin","Alston","Garvin James",185,74,"R","R"
1926,"Tom","Alston","Thomas Edison",210,77,"L","R"
1911,"Walter","Alston","Walter Emmons",195,74,"R","R"
1952,"Porfi","Altamirano","Porfirio",175,72,"R","R"
1992,"Dan","Altavilla","Daniel",226,71,"R","R"
1894,"Ernie","Alten","Ernest Matthias",175,72,"R","L"
1893,"Jesse","Altenburg","Jesse Howard",158,69,"L","R"
1991,"Aaron","Altherr","Aaron Samuel",215,77,"R","R"
1876,"Dave","Altizer","David Tilden",160,70,"L","R"
1933,"George","Altman","George Lee",200,76,"L","R"
1932,"Joe","Altobelli","Joseph Salvatore",185,72,"L","L"
1876,"Nick","Altrock","Nicholas",197,70,"B","L"
1990,"Jose","Altuve","Jose Carlos",166,66,"R","R"
1997,"Jake","Alu","Jacob Philip",186,70,"L","R"
1935,"George","Alusik","George Joseph",175,75,"R","R"
1995,"Jose","Alvarado","Jose Antonio",240,72,"L","L"
1949,"Luis","Alvarado","Luis Cesar",162,69,"R","R"
1982,"Abe","Alvarez","Abraham",190,74,"L","L"
1994,"Armando","Alvarez","Armando Francisco",189,72,"R","R"
1968,"Clemente","Alvarez","Clemente Rafael",180,71,"R","R"
1988,"Dariel","Alvarez","Dariel",180,74,"R","R"
1989,"Dario","Alvarez","Dario Rafael",170,73,"L","L"
1990,"Eddy","Alvarez","Eduardo Cortes",185,69,"L","R"
2001,"Francisco","Alvarez","Francisco Javier",242,70,"R","R"
1974,"Gabe","Alvarez","Gabriel de Jesus",185,73,"R","R"
1990,"Henderson","Alvarez","Henderson Javier",205,72,"R","R"
1956,"Jose","Alvarez","Jose Lino",170,70,"R","R"
1989,"Jose","Alvarez","Jose Ricardo",195,71,"L","L"
1973,"Juan","Alvarez","Juan Manuel",180,73,"L","L"
2003,"Nacho","Alvarez","Ignacio",190,70,"R","R"
1952,"Orlando","Alvarez","Jesus Manuel Orlando",165,72,"R","R"
1933,"Ossie","Alvarez","Oswaldo",165,70,"R","R"
1987,"Pedro","Alvarez","Pedro Manuel",250,75,"L","R"
1991,"R. J.","Alvarez","Roy Emilio",238,73,"R","R"
1938,"Rogelio","Alvarez","Rogelio",183,71,"R","R"
1971,"Tavo","Alvarez","Cesar Octavio",245,75,"R","R"
1979,"Tony","Alvarez","Antonio Enrique",200,73,"R","R"
1976,"Victor","Alvarez","Victor Aurelio",150,70,"L","L"
1970,"Wilson","Alvarez","Wilson Eduardo",175,73,"L","L"
1997,"Yordan","Alvarez","Yordan Ruben",225,77,"L","R"
1938,"Max","Alvis","Roy Maxwell",185,71,"R","R"
1863,"Billy","Alvord","William Crawford",187,70,"R","R"
1940,"Brant","Alyea","Garrabrant Ryerson",215,75,"R","R"
1995,"Adbert","Alzolay","Adbert Marcelo",208,73,"R","R"
2003,"Adael","Amador","Adael Alexander",200,71,"B","R"
1934,"Joey","Amalfitano","John Joseph",175,71,"R","R"
1962,"Rich","Amaral","Richard Louis",175,72,"R","R"
1989,"Alexi","Amarista","Alexi Jose",160,66,"L","R"
1936,"Ruben","Amaro","Ruben",170,71,"R","R"
1965,"Ruben","Amaro","Ruben",170,70,"B","R"
1998,"Jacob","Amaya","Jacob Carlos",180,72,"R","R"
1999,"Miguel","Amaya","Miguel Antonio",230,72,"R","R"
